route,distance,store,client
"['store', '11', 'client']",[10.40864934533316],"(40.41101822870703, -79.91054922095948)","(40.344293365600926, -79.99641741831361)"
"['store', 'client']",[9.36434202421316],"(40.41101822870703, -79.91054922095948)","(40.36575474440525, -79.81749349335871)"
"['store', 'client']",[4.44558439019009],"(40.41101822870703, -79.91054922095948)","(40.43914671163844, -79.8732720706705)"
"['store', 'client']",[9.79039182717687],"(40.41101822870703, -79.91054922095948)","(40.458039513393935, -80.00815479061575)"
"['store', 'client']",[6.843151635152665],"(40.41101822870703, -79.91054922095948)","(40.37786608187771, -79.97849475615638)"
"['store', 'client']",[6.588487642364092],"(40.41101822870703, -79.91054922095948)","(40.44278769703124, -79.97612145752635)"
"['store', 'client']",[7.034764359927483],"(40.41101822870703, -79.91054922095948)","(40.46409150299762, -79.95582276373686)"
"['store', 'client']",[4.047823244318386],"(40.41101822870703, -79.91054922095948)","(40.43565571177712, -79.8753951794149)"
"['store', 'client']",[2.920412562432615],"(40.41101822870703, -79.91054922095948)","(40.4344337086978, -79.89488041995996)"
"['store', 'client']",[3.712960721628564],"(40.41101822870703, -79.91054922095948)","(40.44191280837651, -79.89381370562369)"
"['store', 'client']",[5.073851166576433],"(40.41101822870703, -79.91054922095948)","(40.44741720161101, -79.94669429122119)"
"['store', '6', '39', 'client']",[18.12597095430012],"(40.41101822870703, -79.91054922095948)","(40.5169979948986, -80.04583741273694)"
"['store', 'client']",[3.501371326772253],"(40.41101822870703, -79.91054922095948)","(40.38480751428352, -79.8876219815232)"
"['store', '33', 'client']",[13.826536139018415],"(40.41101822870703, -79.91054922095948)","(40.52219309026643, -79.83719103490516)"
"['store', 'client']",[3.9971667007544043],"(40.41101822870703, -79.91054922095948)","(40.38040379776483, -79.93531472488172)"
"['store', '15', 'client']",[12.9746441318045],"(40.41101822870703, -79.91054922095948)","(40.50950529583869, -79.82938678284077)"
"['store', '6', '4', 'client']",[15.522824908559638],"(40.41101822870703, -79.91054922095948)","(40.545854990040205, -79.944856242824)"
"['store', 'client']",[7.011973434050034],"(40.41101822870703, -79.91054922095948)","(40.46460610316958, -79.95426676003109)"
"['store', '56', 'client']",[10.35294583464017],"(40.41101822870703, -79.91054922095948)","(40.45730282280032, -80.01341351841936)"
"['store', '56', '23', 'client']",[18.887068402060674],"(40.41101822870703, -79.91054922095948)","(40.35739291671442, -80.11185888711087)"
"['store', '6', 'client']",[12.115299266261287],"(40.41101822870703, -79.91054922095948)","(40.48668403003199, -80.01156171570494)"
"['store', '15', 'client']",[13.182335819558599],"(40.41101822870703, -79.91054922095948)","(40.49027760253628, -79.8015252251258)"
"['store', 'client']",[5.774750660455632],"(40.41101822870703, -79.91054922095948)","(40.442004398386175, -79.96520083935846)"
"['store', 'client']",[4.633986860844326],"(40.41101822870703, -79.91054922095948)","(40.44870200323997, -79.93401126561076)"
"['store', 'client']",[4.127190723045312],"(40.41101822870703, -79.91054922095948)","(40.44433600884996, -79.88899359280941)"
"['store', 'client']",[6.374953903016518],"(40.41101822870703, -79.91054922095948)","(40.46040450297428, -79.94885866242048)"
"['store', 'client']",[4.1702210291412225],"(40.41101822870703, -79.91054922095948)","(40.429408098262456, -79.95339254981742)"
"['store', 'client']",[2.6963079517407342],"(40.41101822870703, -79.91054922095948)","(40.38677010704691, -79.90887683722462)"
"['store', 'client']",[6.588475893217436],"(40.41101822870703, -79.91054922095948)","(40.467024804470405, -79.93618342708511)"
"['store', 'client']",[5.9207530321863775],"(40.41101822870703, -79.91054922095948)","(40.46389460641774, -79.90157198157293)"
"['store', '6', '39', 'client']",[19.010543669593353],"(40.41101822870703, -79.91054922095948)","(40.54829326366024, -80.03891738498362)"
"['store', 'client']",[5.297185513497377],"(40.41101822870703, -79.91054922095948)","(40.42394439399719, -79.97062840128234)"
"['store', '15', 'client']",[17.496592927921583],"(40.41101822870703, -79.91054922095948)","(40.54148997673487, -79.79504735420088)"
"['store', '56', '23', '5', '17', '57', '54', 'client']",[52.09688294972164],"(40.41101822870703, -79.91054922095948)","(40.54082441104136, -80.22851970726622)"
"['store', '33', '58', '1', 'client']",[26.229707605425514],"(40.41101822870703, -79.91054922095948)","(40.591923247761294, -79.77662759484255)"
"['store', 'client']",[4.3087900470140275],"(40.41101822870703, -79.91054922095948)","(40.442574010099, -79.88100098063191)"
"['store', 'client']",[4.02666813606771],"(40.41101822870703, -79.91054922095948)","(40.433328812464325, -79.87314497799085)"
